bor_subb,pop_num,pop_65p_pct,pop_disabled_pct
101,164003,0.0900 ,0.1590 
102,175456,0.1030 ,0.1920 
103,136636,0.1220 ,0.1400 
104,139732,0.0820 ,0.1190 
105,133784,0.1020 ,0.1210 
106,119846,0.1850 ,0.0920 
107,182874,0.1310 ,0.1080 
108,119071,0.2070 ,0.1750 
109,124931,0.1530 ,0.1320 
110,135799,0.1370 ,0.1600 
201,162381,0.0940 ,0.0590 
202,145843,0.1010 ,0.0700 
203,155117,0.0990 ,0.0780 
204,121188,0.0890 ,0.0900 
205,171170,0.1220 ,0.0680 
206,116351,0.1190 ,0.0490 
207,132875,0.1100 ,0.0460 
208,136367,0.1230 ,0.0690 
209,111448,0.1440 ,0.0520 
210,125200,0.1780 ,0.0680 
211,186850,0.1570 ,0.0570 
212,138570,0.1240 ,0.0510 
213,113339,0.2620 ,0.1000 
214,154833,0.1450 ,0.0460 
215,158213,0.1960 ,0.0550 
216,122128,0.1100 ,0.1040 
217,135931,0.1600 ,0.0440 
218,195026,0.1690 ,0.0560 
301,151979,0.1390 ,0.0230 
302,155408,0.1800 ,0.0740 
303,165452,0.1410 ,0.0670 
304,143582,0.1940 ,0.0510 
305,191222,0.2200 ,0.0490 
306,204469,0.2150 ,0.0410 
307,145440,0.1300 ,0.0660 
308,146309,0.1100 ,0.0710 
309,110800,0.1300 ,0.1130 
310,214040,0.1550 ,0.0980 
401,160871,0.1330 ,0.0580 
402,137490,0.1260 ,0.0410 
403,181787,0.1140 ,0.0550 
404,150131,0.1130 ,0.0420 
405,186441,0.1300 ,0.0560 
406,118105,0.2300 ,0.0600 
407,239000,0.2140 ,0.0430 
408,164615,0.1540 ,0.0910 
409,139079,0.1450 ,0.0790 
410,128937,0.1610 ,0.0670 
411,115744,0.2130 ,0.0390 
412,241539,0.1420 ,0.0820 
413,187761,0.1890 ,0.0680 
414,127676,0.1390 ,0.0930 
501,174606,0.1380 ,0.0790 
502,137973,0.1690 ,0.0630 
503,163600,0.1810 ,0.0730 
